period,subba,subba-name,parent,parent-name,timezone,value,value-units
2024-12-09,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,116379,megawatthours
2024-12-09,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,116347,megawatthours
2024-12-09,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,116374,megawatthours
2024-12-09,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,116328,megawatthours
2024-12-08,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,104465,megawatthours
2024-12-08,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,104716,megawatthours
2024-12-08,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,105013,megawatthours
2024-12-08,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,104465,megawatthours
2024-12-08,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,104277,megawatthours
2024-12-07,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,112599,megawatthours
2024-12-07,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,112896,megawatthours
2024-12-07,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,113198,megawatthours
2024-12-07,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,112599,megawatthours
2024-12-07,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,112306,megawatthours
2024-12-06,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,122647,megawatthours
2024-12-06,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,122662,megawatthours
2024-12-06,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,122684,megawatthours
2024-12-06,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,122647,megawatthours
2024-12-06,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,122613,megawatthours
2024-12-05,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,122804,megawatthours
2024-12-05,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,122591,megawatthours
2024-12-05,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,122366,megawatthours
2024-12-05,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,122804,megawatthours
2024-12-05,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,123016,megawatthours
2024-12-04,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,122274,megawatthours
2024-12-04,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,122379,megawatthours
2024-12-04,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,122459,megawatthours
2024-12-04,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,122274,megawatthours
2024-12-04,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,122131,megawatthours
2024-12-03,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,119248,megawatthours
2024-12-03,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,119198,megawatthours
2024-12-03,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,119181,megawatthours
2024-12-03,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,119248,megawatthours
2024-12-03,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,119327,megawatthours
2024-12-02,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,120161,megawatthours
2024-12-02,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,120090,megawatthours
2024-12-02,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,119972,megawatthours
2024-12-02,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,120161,megawatthours
2024-12-02,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,120206,megawatthours
2024-12-01,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,111724,megawatthours
2024-12-01,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,111681,megawatthours
2024-12-01,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,111644,megawatthours
2024-12-01,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,111724,megawatthours
2024-12-01,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,111789,megawatthours
2024-11-30,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,106124,megawatthours
2024-11-30,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,105981,megawatthours
2024-11-30,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,105840,megawatthours
2024-11-30,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,106124,megawatthours
2024-11-30,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,106276,megawatthours
2024-11-29,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,105416,megawatthours
2024-11-29,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,105126,megawatthours
2024-11-29,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,104809,megawatthours
2024-11-29,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,105416,megawatthours
2024-11-29,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,105680,megawatthours
2024-11-28,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,101732,megawatthours
2024-11-28,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,101736,megawatthours
2024-11-28,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,101801,megawatthours
2024-11-28,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,101732,megawatthours
2024-11-28,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,101775,megawatthours
2024-11-27,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,106483,megawatthours
2024-11-27,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,106531,megawatthours
2024-11-27,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,106549,megawatthours
2024-11-27,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,106483,megawatthours
2024-11-27,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,106389,megawatthours
2024-11-26,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,107146,megawatthours
2024-11-26,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,107026,megawatthours
2024-11-26,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,106908,megawatthours
2024-11-26,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,107146,megawatthours
2024-11-26,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,107283,megawatthours
2024-11-25,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,105304,megawatthours
2024-11-25,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,105288,megawatthours
2024-11-25,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,105256,megawatthours
2024-11-25,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,105304,megawatthours
2024-11-25,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,105285,megawatthours
